som_x,som_y,multiplier,sigma,learning_rate,num_iterations,quantisation_error,topographic_error,combined_score
13,13,5,0.5,0.1,5000,2.376074580502655,0.9216867469879518,1.4558795619868206
13,13,5,0.5,0.1,10000,2.3384334108689173,0.9457831325301205,1.4551060307109873
13,13,5,0.5,0.1,20000,2.356054264840815,0.927710843373494,1.4482115602426917
13,13,5,0.5,0.5,5000,2.3918531754587917,0.8938253012048193,1.4372286767965594
13,13,5,0.5,0.5,10000,2.494132129783871,0.8501506024096386,1.4626215235584574
13,13,5,0.5,0.5,20000,2.4178496326850865,0.7612951807228916,1.3139499115136961
13,13,5,0.5,0.9,5000,2.5215320830846797,0.8524096385542169,1.4843379384577016
13,13,5,0.5,0.9,10000,2.488261010913372,0.7635542168674698,1.365967297775871
13,13,5,0.5,0.9,20000,2.406655775832059,0.7093373493975904,1.2505531288359142
13,13,5,1.0,0.1,5000,2.996587400750876,0.3411144578313253,1.2727489806778565
13,13,5,1.0,0.1,10000,2.7883327349195506,0.21009036144578314,0.9860524548625607
13,13,5,1.0,0.1,20000,2.6281433819298683,0.20707831325301204,0.8699831855673226
13,13,5,1.0,0.5,5000,2.552375456095534,0.2477409638554217,0.860048981506255
13,13,5,1.0,0.5,10000,2.4654079675768292,0.22590361445783133,0.7754509018758586
13,13,5,1.0,0.5,20000,2.459071487633923,0.21310240963855423,0.7573103479358232
13,13,5,1.0,0.9,5000,2.560655693179621,0.30120481927710846,0.9230021686354801
13,13,5,1.0,0.9,10000,2.5243630147080665,0.2680722891566265,0.8620362338521302
13,13,5,1.0,0.9,20000,2.4427740279267716,0.2582831325301205,0.7940993201491314
13,13,5,1.5,0.1,5000,3.046803435342806,0.06551204819277108,1.0136765888978279
13,13,5,1.5,0.1,10000,2.9022106182656597,0.07228915662650602,0.9190534377247506
13,13,5,1.5,0.1,20000,2.8481276985112283,0.05271084337349398,0.8600356109477079
13,13,5,1.5,0.5,5000,2.840256795376601,0.08659638554216867,0.8906934006868444
13,13,5,1.5,0.5,10000,2.8224490643948648,0.0911144578313253,0.8829751246837255
13,13,5,1.5,0.5,20000,2.729739641435893,0.13253012048192772,0.861910368594844
13,13,5,1.5,0.9,5000,2.8335594799179455,0.1438253012048193,0.94711762929418
13,13,5,1.5,0.9,10000,2.8217280876082063,0.125,0.9186699415355924
13,13,5,1.5,0.9,20000,2.761285150929489,0.12575301204819278,0.8768932094196505
14,14,6,0.5,0.1,5000,2.277887834347274,0.9668674698795181,1.434978631394479
14,14,6,0.5,0.1,10000,2.2357560007322563,0.9382530120481928,1.374726121588437
14,14,6,0.5,0.1,20000,2.2118018947045064,0.9503012048192772,1.3707228591833434
14,14,6,0.5,0.5,5000,2.23332184754391,0.9367469879518072,1.3714022828911525
14,14,6,0.5,0.5,10000,2.3259262806153225,0.8704819277108434,1.3658444024475376
14,14,6,0.5,0.5,20000,2.357588637539774,0.7710843373493976,1.2819554175165844
14,14,6,0.5,0.9,5000,2.4279887896004637,0.8802710843373494,1.4482046376527442
14,14,6,0.5,0.9,10000,2.408479175296003,0.8524096385542169,1.4046936828401113
14,14,6,0.5,0.9,20000,2.2975150334809213,0.7710843373493976,1.2396343700431607
14,14,6,1.0,0.1,5000,2.8750438457802496,0.4503012048192771,1.303776436367537
14,14,6,1.0,0.1,10000,2.6801761746781194,0.23870481927710843,0.9404288090633511
14,14,6,1.0,0.1,20000,2.5052132154889333,0.1875,0.7624633978861275
14,14,6,1.0,0.5,5000,2.503864910412411,0.22740963855421686,0.8041523122149619
14,14,6,1.0,0.5,10000,2.3836937480556726,0.27259036144578314,0.7677636555853803
14,14,6,1.0,0.5,20000,2.316439611946909,0.27183734939759036,0.7195795144638556
14,14,6,1.0,0.9,5000,2.415103210195569,0.2756024096385542,0.7931092208568552
14,14,6,1.0,0.9,10000,2.312957590229652,0.2989457831325301,0.746088665170088
14,14,6,1.0,0.9,20000,2.3231024243310836,0.3057228915662651,0.7604761116471712
14,14,6,1.5,0.1,5000,2.975164367565033,0.0677710843373494,0.9656213432074758
14,14,6,1.5,0.1,10000,2.796655078578056,0.0677710843373494,0.8398639458942769
14,14,6,1.5,0.1,20000,2.7217387228807364,0.06626506024096386,0.7854773687211158
14,14,6,1.5,0.5,5000,2.6974198378431473,0.09713855421686747,0.8013297551334425
14,14,6,1.5,0.5,10000,2.636073785519421,0.10240963855421686,0.7637438215470954
14,14,6,1.5,0.5,20000,2.578041590395578,0.09036144578313253,0.7099888355906002
14,14,6,1.5,0.9,5000,2.698596193753064,0.15963855421686746,0.8689324161080549
14,14,6,1.5,0.9,10000,2.662214397544485,0.1588855421686747,0.8424974239347336
14,14,6,1.5,0.9,20000,2.6585253962967377,0.1302710843373494,0.8093273733737577
15,15,7,0.5,0.1,5000,2.1384199268056094,0.9450301204819277,1.3133947114660942
15,15,7,0.5,0.1,10000,2.1288261850372714,0.9683734939759037,1.3315757113097222
15,15,7,0.5,0.1,20000,2.088300539124269,0.9382530120481928,1.2708457287154946
15,15,7,0.5,0.5,5000,2.1286453644679946,0.9480421686746988,1.3097266844558098
15,15,7,0.5,0.5,10000,2.2064168781409923,0.9390060240963856,1.3548616088777115
15,15,7,0.5,0.5,20000,2.2369820377596223,0.8019578313253012,1.2299744017122691
15,15,7,0.5,0.9,5000,2.2817137949664024,0.9487951807228916,1.4183658437780826
15,15,7,0.5,0.9,10000,2.2764438996509644,0.8373493975903614,1.2955864993512591
15,15,7,0.5,0.9,20000,2.2122253520400252,0.7658132530120482,1.1739173980160338
15,15,7,1.0,0.1,5000,2.8682911041521133,0.5602409638554217,1.4164769840325393
15,15,7,1.0,0.1,10000,2.5895877351398564,0.2522590361445783,0.8910915638331921
15,15,7,1.0,0.1,20000,2.487303918995138,0.22816265060240964,0.7932898213490769
15,15,7,1.0,0.5,5000,2.365507140530021,0.2868975903614458,0.7702370341247997
15,15,7,1.0,0.5,10000,2.2762670366958755,0.2605421686746988,0.6792108961425357
15,15,7,1.0,0.5,20000,2.18565300428493,0.26506024096385544,0.6202015583257899
15,15,7,1.0,0.9,5000,2.2683537668756824,0.338855421686747,0.7573046476482883
15,15,7,1.0,0.9,10000,2.199874700584608,0.33960843373493976,0.7098665701185778
15,15,7,1.0,0.9,20000,2.186527319942592,0.3192771084337349,0.6787418784759474
15,15,7,1.5,0.1,5000,2.930694851151302,0.07906626506024096,0.9463607444089932
15,15,7,1.5,0.1,10000,2.754640624094417,0.08810240963855422,0.8319869680137443
