som_x,som_y,multiplier,sigma,learning_rate,num_iterations,quantisation_error,topographic_error,combined_score
7,7,5,0.5,0.1,5000,6.272904027916118,0.35353535353535354,1.091840115348448
7,7,5,0.5,0.1,10000,6.319717880994534,0.8282828282828283,1.5943590630741575
7,7,5,0.5,0.1,20000,6.09716416223322,0.7474747474747475,1.473152296719708
7,7,5,0.5,0.5,5000,5.287595103683765,0.7676767676767676,1.3596261336387925
7,7,5,0.5,0.5,10000,5.309415543719261,0.8383838383838383,1.436937667230279
7,7,5,0.5,0.5,20000,5.328744016477998,0.797979797979798,1.398045474704243
7,7,5,0.5,0.9,5000,5.491246262491816,0.8181818181818182,1.446111683651432
7,7,5,0.5,0.9,10000,5.627109300793692,0.9090909090909091,1.5634337317257252
7,7,5,0.5,0.9,20000,5.482188000049385,0.8686868686868687,1.4972374614218145
7,7,5,1.0,0.1,5000,6.967449129128473,0.6464646464646465,1.5125610486744097
7,7,5,1.0,0.1,10000,6.861363854732857,0.7474747474747475,1.6001891102070112
7,7,5,1.0,0.1,20000,6.715497666311221,0.7474747474747475,1.575941029562001
7,7,5,1.0,0.5,5000,6.016746956472719,0.4444444444444444,1.1439946606695177
7,7,5,1.0,0.5,10000,5.817643847876784,0.42424242424242425,1.089844103614166
7,7,5,1.0,0.5,20000,5.736354123461811,0.40404040404040403,1.0552782664421083
7,7,5,1.0,0.9,5000,6.00524996156159,0.43434343434343436,1.1315571407634706
7,7,5,1.0,0.9,10000,5.876025336249646,0.40404040404040403,1.0784965246835327
7,7,5,1.0,0.9,20000,5.877072601175113,0.40404040404040403,1.0786706168747677
7,7,5,1.5,0.1,5000,7.926493786138801,0.0,0.9983037240973757
7,7,5,1.5,0.1,10000,7.797957223208602,0.0,0.9769364355057614
7,7,5,1.5,0.1,20000,7.691251599702477,0.04040404040404041,1.0013034785041388
7,7,5,1.5,0.5,5000,7.611884617378214,0.23232323232323232,1.1881099001377324
7,7,5,1.5,0.5,10000,7.502352767432893,0.3333333333333333,1.2751650198338285
7,7,5,1.5,0.5,20000,7.453699667870613,0.3838383838383838,1.3197087458347296
7,7,5,1.5,0.9,5000,7.6007086843854825,0.3333333333333333,1.2915152256765046
7,7,5,1.5,0.9,10000,7.573012575417277,0.2222222222222222,1.171121686505419
7,7,5,1.5,0.9,20000,7.480137535449631,0.20202020202020202,1.134629963225972
7,7,6,0.5,0.1,5000,6.190148460839454,0.43434343434343436,1.1622937615674047
7,7,6,0.5,0.1,10000,5.777094407164026,0.7171717171717171,1.388366521114214
7,7,6,0.5,0.1,20000,5.85933266737576,0.797979797979798,1.4862479329676124
7,7,6,0.5,0.5,5000,5.304276219352365,0.6565656565656566,1.2466096469117223
7,7,6,0.5,0.5,10000,5.288660218514923,0.7878787878787878,1.38085582468986
7,7,6,0.5,0.5,20000,5.486572862432735,0.9292929292929293,1.5611242742022364
7,7,6,0.5,0.9,5000,5.730324482211397,0.8080808080808081,1.4753285599954817
7,7,6,0.5,0.9,10000,5.507420292560859,0.8686868686868687,1.5014319541298033
7,7,6,0.5,0.9,20000,5.579055631335662,0.9292929292929293,1.5764981566824576
7,7,6,1.0,0.1,5000,6.874091037492598,0.6767676767676768,1.528620604199209
7,7,6,1.0,0.1,10000,6.873429816256868,0.9090909090909091,1.7706159491778348
7,7,6,1.0,0.1,20000,6.780871117467542,0.7373737373737373,1.576282076064185
7,7,6,1.0,0.5,5000,6.063216919856391,0.42424242424242425,1.1306669681726889
7,7,6,1.0,0.5,10000,5.876463213984203,0.41414141414141414,1.0890956311226772
7,7,6,1.0,0.5,20000,5.654698700621896,0.40404040404040403,1.041704268934191
7,7,6,1.0,0.9,5000,5.974741551963575,0.43434343434343436,1.1264855721958096
7,7,6,1.0,0.9,10000,5.881233211432213,0.43434343434343436,1.1109412037117887
7,7,6,1.0,0.9,20000,5.878167517868523,0.40404040404040403,1.0788526304624857
7,7,6,1.5,0.1,5000,7.936697863898589,0.010101010101010102,1.0105263157894737
7,7,6,1.5,0.1,10000,7.802604272398786,0.04040404040404041,1.019814201357695
7,7,6,1.5,0.1,20000,7.718344000857452,0.020202020202020204,0.984754554982427
7,7,6,1.5,0.5,5000,7.620641584180076,0.21212121212121213,1.1685129838243644
7,7,6,1.5,0.5,10000,7.538329980081733,0.3333333333333333,1.2811456954320013
7,7,6,1.5,0.5,20000,7.476796648367576,0.26262626262626265,1.197232485259461
7,7,6,1.5,0.9,5000,7.5732208392152085,0.18181818181818182,1.1290510441011228
7,7,6,1.5,0.9,10000,7.650959048332604,0.29292929292929293,1.2577633368722938
