phewas_string,x,y,p_values,odds_ratios,snps,cluster
Abdominal aortic aneurysm,11,11,"[0.01186, 0.03628, 0.005378, 0.04253, 0.001109, 0.01986, 0.04649, 0.004331, 0.03399, 0.02409, 0.03598]","[0.35, 1.783, 0.572, 1.72, 0.568, 1.355, 0.79, 0.685, 0.653, 0.495, 0.504]","['A_2501', 'B_3503', 'B_4001', 'B_4901', 'C_0304', 'C_0602', 'DPA1_0103', 'DPA1_0201', 'DPB1_0101', 'DQA1_0401', 'DQB1_0402']",0
Abnormal results of function study of liver,10,9,"[0.04776, 0.01459, 0.02975, 0.03121, 0.01923, 0.002051, 0.0009635, 0.04289, 0.01986]","[1.302, 1.224, 0.807, 1.181, 1.204, 0.793, 1.614, 0.855, 1.437]","['A_6801', 'B_0801', 'B_4402', 'C_0701', 'DPA1_0201', 'DPB1_0401', 'DPB1_1101', 'DQA1_0301', 'DRB1_0801']",0
Abnormal serum enzyme levels,11,5,"[0.02817, 0.04419, 0.04264, 0.005867, 0.04771, 0.03681]","[1.465, 1.782, 0.625, 1.807, 0.733, 0.123]","['A_2902', 'B_3901', 'B_5101', 'B_5501', 'C_0401', 'C_1402']",0
Acquired coagulation factor deficiency,11,7,"[0.00857, 0.0006253, 0.0004419, 0.03915, 0.01768]","[2.639, 5.06, 4.655, 0.293, 0.51]","['A_2902', 'B_3901', 'B_4901', 'C_0602', 'DPB1_0401']",0
Actinic keratosis,10,6,"[0.00605, 0.02978, 0.0299, 0.04824, 0.00125]","[0.547, 0.76, 0.748, 0.876, 1.605]","['DPB1_1701', 'DQA1_0401', 'DQB1_0402', 'DRB1_0401', 'DRB1_0407']",0
Acute appendicitis,10,9,"[0.0118, 0.02559, 0.0214, 0.007306, 0.03496]","[0.349, 1.507, 2.227, 1.603, 0.65]","['B_4001', 'DPA1_0201', 'DPB1_1301', 'DQA1_0102', 'DQB1_0301']",0
Acute pericarditis,12,11,"[0.03474, 0.0124, 0.009449, 0.007539, 0.02029]","[0.447, 2.089, 2.472, 2.947, 2.76]","['A_0301', 'A_2402', 'B_1801', 'DPB1_1101', 'DRB1_1104']",0
Acute reaction to stress,11,6,"[0.04332, 0.043]","[0.231, 1.942]","['C_0401', 'DPB1_0301']",0
Alcohol-related disorders,12,7,"[0.02166, 0.01207, 0.04975, 0.006552]","[1.605, 0.568, 1.226, 0.254]","['A_2301', 'C_1203', 'DPB1_0401', 'DPB1_1301']",0
Alcoholic liver damage,9,7,"[0.01265, 0.01971, 0.01471, 0.01176, 0.01149, 0.01492, 0.04669, 0.02449, 0.02016]","[1.527, 1.674, 0.491, 1.614, 0.165, 0.568, 1.467, 0.646, 2.348]","['A_0101', 'B_3501', 'C_0304', 'C_0401', 'C_1203', 'DPB1_0201', 'DPB1_0401', 'DQB1_0301', 'DRB1_0103']",0
Alcoholism,12,7,"[0.03358, 0.01268, 0.03313, 0.02461]","[1.665, 0.491, 0.739, 0.271]","['A_2301', 'C_1203', 'DPB1_0201', 'DPB1_1301']",0
Alkalosis,11,7,"[0.002567, 0.0395, 0.03244, 0.0468, 0.03793, 0.003735, 0.04996, 0.03733]","[1.761, 0.661, 2.186, 2.067, 0.523, 2.153, 0.684, 0.665]","['A_1101', 'B_0801', 'B_1401', 'B_3901', 'DPB1_0101', 'DPB1_1101', 'DQB1_0201', 'DRB1_0301']",0
Allergy/adverse effect of penicillin,12,8,"[0.03485, 0.01792, 0.008973]","[2.155, 2.785, 2.588]","['B_2705', 'B_5501', 'C_0102']",0
Alopecia,10,6,"[0.009478, 0.03937]","[0.308, 0.663]","['C_0202', 'DRB1_0401']",0
Alteration of consciousness,12,7,[0.03177],[1.322],['DPB1_1101'],0
Altered mental status,12,7,"[0.04127, 0.01096, 0.04135, 0.03797, 0.02495]","[0.875, 1.528, 1.234, 0.825, 1.367]","['A_0301', 'B_1401', 'C_0802', 'DQB1_0603', 'DRB1_1401']",0
Althete's foot,10,8,"[0.001061, 0.0228, 0.04854, 0.003524, 0.00402, 0.02465, 0.01154, 0.04499]","[2.707, 1.937, 0.404, 2.961, 2.303, 0.586, 1.859, 1.958]","['A_2601', 'B_2705', 'B_3501', 'B_3701', 'C_0102', 'DPA1_0103', 'DPB1_0401', 'DQA1_0401']",0
Alzheimer's disease,12,7,"[0.0283, 0.03625, 0.04953, 0.04092]","[0.275, 0.501, 0.551, 0.3]","['B_1302', 'B_1801', 'B_5101', 'C_1502']",0
Anal and rectal conditions,12,8,"[0.01554, 2.949e-05, 0.02286]","[1.527, 2.233, 0.698]","['B_5501', 'DRB1_0103', 'DRB1_1101']",0
Anal and rectal polyp,12,8,"[0.009351, 0.04489, 0.01314, 0.03999]","[3.446, 1.976, 2.94, 0.381]","['B_3503', 'B_4001', 'B_5501', 'DQB1_0302']",0
"Antepartum hemorrhage, abruptio placentae, and placenta previa",12,9,"[0.03413, 0.01188, 0.04461, 0.004936, 0.04405]","[2.427, 3.813, 2.448, 4.474, 3.385]","['A_2902', 'B_3503', 'C_1203', 'DRB1_0407', 'DRB1_1201']",0
Anxiety disorder,12,6,"[0.01264, 0.01282, 0.002302, 0.04167, 0.03905, 0.02148, 0.001696, 0.03011, 0.009521, 0.002592, 0.04358]","[0.712, 0.875, 1.178, 1.117, 1.259, 0.816, 0.848, 1.223, 1.237, 0.853, 1.164]","['A_2301', 'B_0801', 'B_4402', 'C_0501', 'C_0704', 'C_1601', 'DQB1_0201', 'DQB1_0503', 'DQB1_0604', 'DRB1_0301', 'DRB1_1302']",0
Anxiety disorders,12,6,"[0.0337, 0.003048, 0.0377, 0.04887, 0.009191, 0.00102, 0.0005484, 0.001552, 0.005153]","[0.904, 1.153, 1.246, 1.101, 1.111, 0.858, 1.286, 0.862, 1.205]","['B_0801', 'B_4402', 'B_4901', 'C_0501', 'DQA1_0102', 'DQB1_0201', 'DQB1_0604', 'DRB1_0301', 'DRB1_1302']",0
Aortic aneurysm,11,11,"[0.01674, 0.04457, 0.008854, 0.01587, 0.0376, 0.04755, 0.02974]","[0.506, 0.743, 0.712, 1.291, 0.808, 0.616, 1.351]","['A_2501', 'B_4001', 'C_0304', 'C_0602', 'DPA1_0201', 'DQB1_0402', 'DRB1_1302']",0
Arterial embolism and thrombosis of lower extremity artery,12,4,"[0.01725, 0.02712, 0.04017, 0.04228, 0.005559, 0.00245, 0.006458, 0.001862, 0.02174, 0.04793, 0.02905, 0.002523, 0.00364, 0.0445]","[2.166, 1.802, 0.485, 0.488, 0.408, 1.966, 1.916, 2.335, 0.461, 1.57, 0.277, 1.963, 3.176, 0.307]","['A_3201', 'B_1501', 'B_4402', 'C_0501', 'DQA1_0101', 'DQA1_0201', 'DQB1_0202', 'DQB1_0303', 'DQB1_0501', 'DQB1_0602', 'DQB1_0603', 'DRB1_0701', 'DRB1_0901', 'DRB1_1301']",0
Ascites (non malignant),11,7,"[0.01108, 0.01601, 0.01618, 0.03825, 0.04782, 0.044, 0.02273]","[0.459, 1.586, 1.597, 0.642, 0.676, 0.63, 1.537]","['A_3001', 'B_3901', 'B_4002', 'B_5501', 'DPB1_0601', 'DPB1_1001', 'DQB1_0502']",0
Aseptic necrosis of bone,10,8,"[0.01577, 0.01897, 0.02119, 0.007235, 0.01871]","[1.779, 1.694, 1.678, 0.57, 1.51]","['A_6801', 'B_2705', 'C_0202', 'DPB1_0201', 'DPB1_0401']",0
Asthma,12,10,"[0.04373, 0.0008176, 0.04227, 0.03326, 0.04997, 0.0257, 0.0199]","[0.682, 1.62, 1.113, 1.126, 0.881, 1.379, 1.376]","['B_3801', 'C_1402', 'DPA1_0103', 'DPA1_0201', 'DPB1_0301', 'DPB1_1401', 'DRB1_0901']",0
Atrial fibrillation,11,11,"[0.01297, 0.01197, 0.03476, 0.03747, 0.03388, 0.01725]","[1.128, 1.237, 0.839, 1.106, 1.154, 1.194]","['A_0301', 'A_3201', 'C_1601', 'DPA1_0201', 'DPB1_0101', 'DRB1_1302']",0
Autism,12,8,"[0.02323, 0.003841, 0.03484]","[1.756, 2.617, 1.73]","['B_3501', 'B_5501', 'DQB1_0303']",0
Benign neoplasm of bone and articular cartilage,9,9,"[0.03244, 0.003393, 0.007894, 0.02291]","[1.901, 0.455, 0.451, 0.263]","['C_0202', 'DPA1_0103', 'DPA1_0201', 'DPB1_0101']",0
"Benign neoplasm of eye, uveal",10,8,"[0.01517, 0.03292, 0.04277]","[0.377, 1.94, 2.394]","['DPB1_0201', 'DPB1_0401', 'DPB1_0501']",0
Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch),9,9,"[0.03697, 0.0325, 0.03283]","[1.611, 0.604, 0.409]","['B_1501', 'DPA1_0201', 'DPB1_0101']",0
Bipolar,12,7,"[0.02292, 0.008226, 0.03135, 0.003289, 0.03114]","[0.757, 1.431, 0.285, 2.064, 1.547]","['A_0301', 'A_1101', 'B_3801', 'B_3901', 'DPB1_0601']",0
Calculus of kidney,10,8,"[0.02177, 0.01938, 0.03051, 0.04265]","[1.613, 0.664, 1.189, 0.552]","['B_1401', 'C_0102', 'DPB1_0401', 'DRB1_0901']",0
Cancer of of nasal cavities,11,7,"[0.001455, 0.02714, 0.02398, 0.0297]","[2.659, 2.541, 2.12, 2.511]","['B_1302', 'B_3901', 'DPB1_1101', 'DQB1_0502']",0
Candidiasis of skin and nails,12,5,[0.005696],[2.985],['DRB1_0901'],0
Carbuncle and furuncle,11,6,"[0.02958, 0.02533]","[0.278, 1.695]","['C_0303', 'DPB1_0301']",0
Carcinoid syndrome,12,8,"[0.0483, 0.005722, 0.04026, 0.02243, 0.005364]","[0.137, 3.049, 0.477, 2.51, 2.107]","['B_3501', 'B_5501', 'DPA1_0201', 'DQB1_0503', 'DRB1_0401']",0
Cardiac and circulatory congenital anomalies,9,9,"[0.00202, 0.01744, 0.04066, 0.03316, 0.02402, 0.04553]","[1.45, 1.183, 0.767, 1.16, 0.845, 1.229]","['A_3101', 'B_0702', 'B_1801', 'C_0702', 'DPA1_0201', 'DQB1_0303']",0
Cardiac congenital anomalies,9,9,"[0.002665, 0.02055, 0.04299, 0.03684, 0.03762]","[1.455, 1.185, 0.849, 1.163, 0.852]","['A_3101', 'B_0702', 'B_0801', 'C_0702', 'DPA1_0201']",0
Cardiac shunt/ heart septal defect,9,9,"[0.02152, 0.01448, 0.0427, 0.04808, 0.02292, 0.0433]","[0.812, 1.446, 0.834, 0.841, 0.806, 0.755]","['A_0101', 'A_3101', 'C_0701', 'DPA1_0103', 'DPA1_0201', 'DPB1_0101']",0
Cellulitis and abscess of arm/hand,10,6,"[0.03484, 0.01011]","[0.547, 1.555]","['B_5101', 'DPB1_0101']",0
Cellulitis and abscess of fingers/toes,10,6,"[0.04015, 0.02016]","[1.893, 1.467]","['B_1401', 'DRB1_1101']",0
"Cellulitis and abscess of foot, toe",11,11,"[0.01536, 0.0002136, 0.02963, 0.02458, 0.01825, 0.01011, 0.02958, 0.04773, 0.01693, 0.026, 0.001632, 0.02554]","[0.63, 2.339, 1.701, 2.273, 1.588, 1.571, 1.409, 1.506, 1.465, 0.685, 1.663, 0.483]","['A_0301', 'A_3101', 'A_3201', 'B_1401', 'B_4001', 'C_0304', 'DPA1_0201', 'DPB1_0101', 'DQB1_0201', 'DQB1_0301', 'DQB1_0302', 'DRB1_1301']",0
"Cellulitis and abscess of leg, except foot",10,6,"[0.02069, 0.03281, 0.02816, 0.01019, 0.007236, 0.008071, 0.04071]","[1.673, 1.514, 1.343, 0.751, 1.291, 1.369, 0.609]","['B_1401', 'B_4901', 'B_5701', 'C_0401', 'C_0602', 'DQB1_0303', 'DRB1_1104']",0
Certain early complications of trauma or procedure,9,6,"[0.004466, 0.02573, 0.02117, 0.01176]","[1.572, 1.329, 1.342, 0.522]","['DPB1_0101', 'DQB1_0201', 'DRB1_0301', 'DRB1_1101']",0
Cervical cancer,11,10,"[0.01917, 0.01274, 0.01573, 0.03014, 0.02114, 0.04675, 0.008111, 0.03356, 0.009048, 0.01855, 0.0111, 0.04038, 0.03164, 0.02121, 0.03901, 0.04371]","[1.501, 0.082, 1.706, 1.592, 0.31, 1.472, 1.643, 0.657, 1.559, 0.639, 0.582, 0.493, 1.477, 0.667, 0.639, 0.646]","['B_0702', 'B_1801', 'B_3501', 'B_4001', 'C_0202', 'C_0304', 'C_0401', 'C_0701', 'C_0702', 'DPA1_0103', 'DPA1_0201', 'DPB1_0101', 'DPB1_0301', 'DQA1_0501', 'DQB1_0201', 'DRB1_0301']",0
Cervicalgia,9,9,"[0.02396, 0.03249, 0.01473, 0.03767, 0.03226, 0.04068]","[0.881, 0.752, 0.787, 0.819, 1.121, 1.162]","['A_0301', 'A_2501', 'B_2705', 'C_0202', 'DPA1_0201', 'DPB1_0101']",0
Chronic dermatitis due to solar radiation,12,10,"[0.04826, 0.004516, 0.02263, 0.0007405, 0.0008823, 0.02472, 0.0009656]","[0.645, 0.501, 0.564, 1.411, 1.423, 1.561, 2.156]","['A_2902', 'B_2705', 'C_0102', 'DPA1_0103', 'DPA1_0201', 'DPB1_1101', 'DRB1_0407']",0
Chronic pulmonary heart disease,10,8,"[0.04577, 0.02129, 0.001525, 0.02644, 0.03755, 0.04714, 0.006507]","[0.875, 1.294, 0.321, 1.307, 0.865, 1.297, 1.612]","['A_0201', 'B_2705', 'B_3801', 'C_0102', 'DPB1_0401', 'DQA1_0401', 'DRB1_0103']",0
Coagulation defects,11,5,"[0.03517, 0.0467, 0.0139, 0.04489, 0.04495, 0.04445, 0.04948, 0.03255]","[0.848, 1.205, 1.254, 1.185, 1.206, 1.209, 1.115, 0.721]","['A_2402', 'A_2902', 'B_2705', 'B_4403', 'C_0202', 'C_1601', 'DQA1_0102', 'DRB1_1104']",0
Colles' fracture,10,8,"[0.04224, 0.01371, 0.03568, 0.02163]","[1.552, 1.919, 2.192, 2.668]","['A_0101', 'DPB1_0401', 'DPB1_0501', 'DRB1_0103']",0
Colon cancer,10,11,"[0.001017, 0.01091, 0.01307, 0.04428, 0.03796, 0.03744, 0.02706, 0.02669]","[1.608, 1.293, 0.775, 1.158, 1.242, 0.661, 0.628, 1.503]","['A_2501', 'C_0303', 'C_0304', 'DPA1_0103', 'DPB1_0101', 'DPB1_1101', 'DRB1_0801', 'DRB1_0901']",0
Colorectal cancer,10,11,"[0.03563, 0.0004646, 0.01851, 0.01262, 0.002352, 0.03421, 0.01999, 0.01309, 0.04963, 0.02359]","[0.872, 1.603, 1.404, 1.266, 0.745, 1.289, 1.252, 0.626, 0.694, 1.477]","['A_0201', 'A_2501', 'B_5501', 'C_0303', 'C_0304', 'DPA1_0202', 'DPB1_0101', 'DPB1_1101', 'DRB1_0801', 'DRB1_0901']",0
Conduct disorders,12,6,"[0.02116, 0.01435, 0.02816, 0.0172, 0.006692, 0.04687, 0.03558, 0.04968]","[1.517, 1.464, 0.427, 1.486, 0.556, 1.342, 1.659, 1.547]","['A_2402', 'B_0702', 'B_2705', 'C_0501', 'DPB1_0402', 'DQA1_0102', 'DQB1_0604', 'DRB1_1302']",0
Congenital deformities of feet,12,11,"[0.01251, 0.03357, 0.02549, 0.02791, 0.000262, 0.005243]","[2.399, 1.754, 2.356, 2.601, 4.094, 3.751]","['B_1801', 'DPA1_0103', 'DPA1_0202', 'DPB1_0501', 'DRB1_1104', 'DRB1_1201']",0
Congenital musculoskeletal deformities of spine,12,8,"[0.007512, 0.02831, 0.01822]","[2.087, 2.391, 3.005]","['B_4001', 'B_5501', 'DQB1_0502']",0
Congestive heart failure (CHF) NOS,11,5,"[0.01483, 0.02512, 0.001613, 0.002776, 0.03065, 0.00163]","[0.773, 0.834, 1.251, 0.629, 0.855, 0.768]","['A_2601', 'A_2902', 'B_2705', 'B_3801', 'B_4403', 'C_1601']",0
Congestive heart failure; nonhypertensive,11,5,"[0.004089, 0.009216, 0.006054, 0.004888, 0.01937, 0.0491, 0.001142]","[0.75, 0.819, 1.204, 0.672, 0.854, 1.102, 0.775]","['A_2601', 'A_2902', 'B_2705', 'B_3801', 'B_4403', 'C_0602', 'C_1601']",0
Crystal arthropathies,8,7,"[0.002467, 0.03209, 0.002782, 0.01046]","[3.245, 2.559, 4.161, 3.075]","['DQA1_0401', 'DQB1_0402', 'DRB1_0103', 'DRB1_0801']",0
Cushing's syndrome,10,7,"[0.02935, 0.04616, 0.03742]","[2.447, 0.389, 2.489]","['C_0102', 'DPB1_0201', 'DQA1_0401']",0
Decubitus ulcer,11,6,"[0.04557, 0.03283, 0.01562]","[1.55, 0.802, 1.26]","['B_3801', 'DPB1_0201', 'DPB1_0301']",0
Degeneration of macula and posterior pole of retina,11,5,"[0.03676, 0.03144, 0.02104, 0.01979, 0.0214, 0.02325, 0.0444]","[0.753, 1.322, 1.237, 1.204, 0.695, 0.812, 1.187]","['B_4403', 'B_5701', 'C_0602', 'C_0701', 'C_1601', 'DPB1_0201', 'DRB1_0301']",0
Degenerative skin conditions and other dermatoses,10,6,"[0.02529, 0.03151, 0.006095, 0.01229, 0.0452, 0.01286, 0.04192]","[1.133, 1.223, 0.793, 0.673, 0.814, 1.36, 0.775]","['A_2402', 'A_2601', 'C_1601', 'DPB1_1701', 'DQB1_0402', 'DRB1_0407', 'DRB1_1401']",0
Delirium dementia and amnestic and other cognitive disorders,12,7,"[0.03031, 0.02585, 0.01301]","[0.773, 1.321, 0.716]","['B_3501', 'C_0102', 'DRB1_0404']",0
Dementias,12,7,"[0.04866, 0.02409, 0.0212, 0.006757]","[1.408, 0.715, 1.418, 0.628]","['A_2601', 'B_3501', 'C_0102', 'DRB1_0404']",0
Dental caries,10,7,"[0.003192, 0.04341, 0.03427, 0.01259, 0.007681, 0.003206, 0.02436, 0.009004, 0.04734, 0.02912]","[0.719, 1.265, 0.549, 0.647, 0.15, 1.568, 0.621, 1.312, 0.593, 0.512]","['A_0301', 'A_2402', 'A_2601', 'B_3501', 'B_3801', 'C_0102', 'C_1203', 'DPB1_0301', 'DQB1_0402', 'DRB1_0801']",0
Dependence on respirator [Ventilator] or supplemental oxygen,11,6,"[0.01374, 0.04377, 0.01358, 0.01801]","[1.834, 1.356, 0.667, 1.343]","['B_3701', 'B_4001', 'C_0401', 'DPB1_0301']",0
