phewas_string,x,y,p_values,odds_ratios,snps,cluster
Abdominal hernia,2,0,"[0.02086, 0.02714, 0.02319, 0.03119]","[0.873, 0.885, 0.882, 1.33]","['DPB1_0301', 'DQB1_0201', 'DRB1_0301', 'DRB1_1201']",2
Abnormal involuntary movements,4,3,"[0.04489, 0.01545, 0.0365, 0.006266, 0.03633, 0.03097, 0.04303]","[1.458, 0.491, 0.801, 0.725, 1.227, 0.765, 1.598]","['A_2501', 'A_2601', 'DQA1_0101', 'DQB1_0501', 'DQB1_0602', 'DRB1_0101', 'DRB1_1201']",2
Abnormal movement,4,3,"[0.002571, 0.04718, 0.01548, 0.02783, 0.03805, 0.04186, 0.00707, 0.04233, 0.03136]","[0.862, 0.846, 1.377, 1.308, 1.123, 1.237, 0.741, 1.121, 0.741]","['A_0201', 'B_3501', 'B_3503', 'DPB1_1001', 'DQB1_0201', 'DQB1_0503', 'DQB1_0604', 'DRB1_0301', 'DRB1_1104']",2
Abnormal weight gain,3,5,"[0.005494, 0.03745, 0.0378, 0.01558, 0.0314]","[1.53, 1.826, 0.743, 0.658, 1.857]","['A_1101', 'B_3801', 'DQA1_0101', 'DRB1_0101', 'DRB1_0103']",2
Abnormality in fetal heart rate or rhythm,0,0,"[0.01888, 0.001273, 0.0017, 0.001739]","[1.597, 1.859, 1.864, 1.856]","['C_0702', 'DQA1_0102', 'DQB1_0602', 'DRB1_1501']",2
Abnormality of gait,4,3,"[0.006554, 0.02706, 0.006322, 0.04456, 0.01945]","[0.835, 1.226, 1.518, 1.317, 1.45]","['A_0201', 'A_1101', 'DPB1_1001', 'DQB1_0503', 'DRB1_1401']",2
Acne,2,4,"[0.04658, 0.03903, 0.01481, 0.04867, 0.04895, 0.01965, 0.02139, 0.02392]","[1.598, 1.857, 1.752, 0.72, 0.511, 0.69, 1.579, 1.466]","['A_2601', 'A_3001', 'B_1302', 'C_0501', 'DQA1_0401', 'DQB1_0501', 'DQB1_0604', 'DRB1_1101']",2
Acquired spondylolisthesis,4,2,[0.04318],[1.885],['A_3001'],2
Acute cystitis,5,3,"[0.002385, 0.001649, 0.03657, 0.02416, 0.04922]","[3.84, 5.307, 2.381, 3.312, 0.356]","['A_2501', 'B_1401', 'B_1801', 'B_3503', 'DQB1_0501']",2
Acute prostatitis,3,3,"[0.04273, 0.02678, 0.009381, 0.00364, 0.02575, 0.03524]","[2.462, 0.352, 2.325, 4.271, 1.898, 0.37]","['A_2601', 'B_0801', 'B_1501', 'B_3801', 'DPB1_0201', 'DPB1_0402']",2
Acute reaction to stress,1,1,"[0.04332, 0.043]","[0.231, 1.942]","['C_0401', 'DPB1_0301']",2
Adjustment reaction,1,1,"[0.0428, 0.04206, 0.03289, 0.04566, 0.03334, 0.04578]","[0.563, 1.445, 0.697, 1.187, 0.829, 0.839]","['B_3503', 'B_4901', 'C_0102', 'DPB1_0301', 'DQB1_0201', 'DRB1_0301']",2
"Agorophobia, social phobia, and panic disorder",1,2,"[0.04251, 0.03761, 0.03858, 0.01378, 0.03613, 0.008814, 0.03414]","[1.46, 0.421, 2.131, 2.173, 0.418, 0.387, 1.781]","['A_2402', 'B_2705', 'B_3901', 'B_4901', 'C_0202', 'DPB1_0101', 'DQB1_0503']",2
Alcohol-related disorders,1,1,"[0.02166, 0.01207, 0.04975, 0.006552]","[1.605, 0.568, 1.226, 0.254]","['A_2301', 'C_1203', 'DPB1_0401', 'DPB1_1301']",2
Alcoholism,1,1,"[0.03358, 0.01268, 0.03313, 0.02461]","[1.665, 0.491, 0.739, 0.271]","['A_2301', 'C_1203', 'DPB1_0201', 'DPB1_1301']",2
Allergy/adverse effect of penicillin,2,1,"[0.03485, 0.01792, 0.008973]","[2.155, 2.785, 2.588]","['B_2705', 'B_5501', 'C_0102']",2
Alteration of consciousness,1,1,[0.03177],[1.322],['DPB1_1101'],2
Altered mental status,1,1,"[0.04127, 0.01096, 0.04135, 0.03797, 0.02495]","[0.875, 1.528, 1.234, 0.825, 1.367]","['A_0301', 'B_1401', 'C_0802', 'DQB1_0603', 'DRB1_1401']",2
Alzheimer's disease,1,1,"[0.0283, 0.03625, 0.04953, 0.04092]","[0.275, 0.501, 0.551, 0.3]","['B_1302', 'B_1801', 'B_5101', 'C_1502']",2
Amyotrophic Lateral Sclerosis,4,3,[0.04037],[2.144],['A_2501'],2
Anal and rectal conditions,2,1,"[0.01554, 2.949e-05, 0.02286]","[1.527, 2.233, 0.698]","['B_5501', 'DRB1_0103', 'DRB1_1101']",2
Anal and rectal polyp,3,1,"[0.009351, 0.04489, 0.01314, 0.03999]","[3.446, 1.976, 2.94, 0.381]","['B_3503', 'B_4001', 'B_5501', 'DQB1_0302']",2
Aneurysm of other specified artery,4,0,"[0.03412, 0.002914, 0.04297]","[0.335, 2.919, 2.069]","['A_2402', 'B_1402', 'C_0802']",2
Angina pectoris,3,5,"[0.004182, 0.003314, 0.008524, 0.00436, 0.04803]","[1.331, 0.364, 1.723, 0.628, 1.177]","['A_1101', 'B_3801', 'B_4002', 'C_1203', 'DRB1_0301']",2
